date,cost
2000-01-31,148936.8749417117
2000-02-29,150417.15614901192
2000-03-31,151529.02409969489
2000-04-30,153384.96079605664
2000-05-31,154715.9919381359
2000-06-30,156163.62890551976
2000-07-31,157971.32884417128
2000-08-31,159803.2946674916
2000-09-30,161752.99138531115
2000-10-31,164201.77006209258
2000-11-30,166976.91439600926
2000-12-31,169490.22874173566
2001-01-31,171672.06060814383
2001-02-28,173735.7813814097
2001-03-31,176078.9069040922
2001-04-30,178570.340605506
2001-05-31,180954.36598032332
2001-06-30,183056.9321909834
2001-07-31,185029.96073037933
2001-08-31,186897.07746771557
2001-09-30,188591.38254894363
2001-10-31,189806.8614077953
2001-11-30,191939.4148230116
2001-12-31,194978.48967115968
2002-01-31,198491.68077173748
2002-02-28,201344.4085216062
2002-03-31,203463.6389827704
2002-04-30,205341.27055732103
2002-05-31,206903.0897536523
2002-06-30,208688.50728068815
2002-07-31,210562.0725219578
2002-08-31,212605.8863259648
2002-09-30,214578.5739071819
2002-10-31,216453.12888907111
2002-11-30,218099.2714081125
2002-12-31,219513.0651457355
2003-01-31,220864.68324734768
2003-02-28,222342.22741692243
2003-03-31,223731.46797813583
2003-04-30,225105.02750059497
2003-05-31,226382.0239319007
2003-06-30,226860.850456462
2003-07-31,225806.9853252404
2003-08-31,223992.0714212614
2003-09-30,223511.9305307826
2003-10-31,224661.78960529572
2003-11-30,227079.8969535431
2003-12-31,228863.0247137733
2004-01-31,230372.59682030635
2004-02-29,231251.05057496243
2004-03-31,232095.1522271649
2004-04-30,233200.15468105173
2004-05-31,235011.16734608132
2004-06-30,237945.82950213575
2004-07-31,241604.76625387193
2004-08-31,245174.88823514475
2004-09-30,248837.93154201595
2004-10-31,252435.69900474453
2004-11-30,256515.94710070183
2004-12-31,260230.64353566317
2005-01-31,263934.2645945635
2005-02-28,267780.04362996056
2005-03-31,272107.8086731732
2005-04-30,277262.52900767914
2005-05-31,282982.04486450896
2005-06-30,287128.6004019214
2005-07-31,292225.93573563267
2005-08-31,297271.64787735837
2005-09-30,303531.3982159186
2005-10-31,308977.48995042127
2005-11-30,313660.5567131326
2005-12-31,319159.34535869263
2006-01-31,324061.48797519685
2006-02-28,329144.2400094682
2006-03-31,334004.1538117321
2006-04-30,337750.0748464064
2006-05-31,341521.44709989306
2006-06-30,343873.1661198961
2006-07-31,345976.13252045546
2006-08-31,349022.20444791013
2006-09-30,351907.38815091224
2006-10-31,352481.9866483699
2006-11-30,348765.3168275435
2006-12-31,345475.9756181123
2007-01-31,344070.8026207466
2007-02-28,345150.59906268393
2007-03-31,349030.43229508796
2007-04-30,351843.03009851906
2007-05-31,354817.3424497977
2007-06-30,353498.36202336027
2007-07-31,352401.0406902718
2007-08-31,351425.0289942145
2007-09-30,351679.0200212095
2007-10-31,354082.6418611436
2007-11-30,355313.9107618044
2007-12-31,356630.3868331588
2008-01-31,355563.75083234947
2008-02-29,353482.42444244074
2008-03-31,349322.5624494316
2008-04-30,346163.25167428935
2008-05-31,344087.15524134465
2008-06-30,343369.84263014834
2008-07-31,342501.37548782164
2008-08-31,341077.35069385904
2008-09-30,337769.4549396597
2008-10-31,334807.33772733837
2008-11-30,331403.3182492131
2008-12-31,324151.4627366522
2009-01-31,313396.27340370096
2009-02-28,302020.33244920475
2009-03-31,295378.26053013396
2009-04-30,292278.41145760595
2009-05-31,290149.4399044157
2009-06-30,288517.213203515
2009-07-31,285972.7618470432
2009-08-31,283486.06751449977
2009-09-30,281344.51006279164
2009-10-31,279533.39711773646
2009-11-30,278851.8672982959
2009-12-31,278366.7561262364
2010-01-31,278227.76599995716
2010-02-28,277158.9415628813
2010-03-31,275504.846518167
2010-04-30,274278.8431401746
2010-05-31,273872.9437665694
2010-06-30,274905.68022077327
2010-07-31,275533.2441088126
2010-08-31,276350.4171884667
2010-09-30,277550.15651315957
2010-10-31,279595.00989728543
2010-11-30,280557.8599962575
2010-12-31,280295.87299604056
2011-01-31,280235.7071620717
2011-02-28,280856.0025606738
2011-03-31,281376.0510549725
2011-04-30,280976.94475264
2011-05-31,280449.87145075697
2011-06-30,280466.99997509044
2011-07-31,280877.7094029694
2011-08-31,281538.3956258422
2011-09-30,281164.0456187295
2011-10-31,280140.1984779592
2011-11-30,278772.54997526814
2011-12-31,278299.96723489836
2012-01-31,277608.45560763014
2012-02-29,277016.9837831165
2012-03-31,276446.56768268184
2012-04-30,276878.0574783743
2012-05-31,277650.2593868132
2012-06-30,279389.01390619547
2012-07-31,282606.59836698853
2012-08-31,285294.8178528745
2012-09-30,286324.9994941769
2012-10-31,285192.35586268693
2012-11-30,284514.11154676153
2012-12-31,284508.6380865258
2013-01-31,284958.0035802025
2013-02-28,285079.9867398042
2013-03-31,284560.3639034754
2013-04-30,283592.5869441655
2013-05-31,283171.2447819555
2013-06-30,285474.416438785
2013-07-31,289925.3213390441
2013-08-31,293475.16331949877
2013-09-30,296298.9712306124
2013-10-31,298690.7598709517
2013-11-30,302507.9195094179
2013-12-31,305034.42014719674
2014-01-31,307542.35180083226
2014-02-28,309915.86220924277
2014-03-31,312505.583556924
2014-04-30,314181.46575139725
2014-05-31,316973.17741965305
2014-06-30,321024.69251172344
2014-07-31,326093.8601855267
2014-08-31,329276.98768389056
2014-09-30,332087.4938025517
2014-10-31,335294.95687488146
2014-11-30,339925.6556822361
2014-12-31,343089.374595915
2015-01-31,345496.46386689745
2015-02-28,346875.86650038545
2015-03-31,349152.9432249107
2015-04-30,351183.9853583346
2015-05-31,353238.8549213139
2015-06-30,354832.57889257435
2015-07-31,357631.6223237814
2015-08-31,361730.0681760944
2015-09-30,367219.48882014706
2015-10-31,371940.7242178126
2015-11-30,375949.6928972902
2015-12-31,381073.3885757215
2016-01-31,386576.73915926815
2016-02-29,392674.66690605105
2016-03-31,396616.1936922078
2016-04-30,400520.7977060498
2016-05-31,403596.0213062046
2016-06-30,406895.5562607811
2016-07-31,408858.1914349667
2016-08-31,410979.9230611256
2016-09-30,413339.7628618246
2016-10-31,415411.9481505348
2016-11-30,418080.4255060363
2016-12-31,421665.1010088798
2017-01-31,425990.9069314893
2017-02-28,431539.4167793977
2017-03-31,436553.06686222536
2017-04-30,443190.31270203576
2017-05-31,446497.53156989353
2017-06-30,448596.8258432755
2017-07-31,448849.981603888
2017-08-31,450938.1261069097
2017-09-30,451086.9520656256
2017-10-31,453128.9722179458
2017-11-30,455666.36923915055
2017-12-31,461973.5829548937
2018-01-31,468629.4984467221
2018-02-28,474215.8993242231
2018-03-31,480283.67541475594
2018-04-30,484673.11983544054
2018-05-31,488629.6502216348
2018-06-30,490086.92000566976
2018-07-31,490959.1303463
2018-08-31,492445.72075517033
2018-09-30,494408.89007372136
2018-10-31,495414.4889309898
2018-11-30,494841.8087181644
2018-12-31,493930.6687803387
2019-01-31,496185.78252422094
2019-02-28,500726.2184631369
2019-03-31,506689.9236651848
2019-04-30,510350.6483305501
2019-05-31,513586.9925228483
2019-06-30,516153.95130441774
2019-07-31,519124.7169685848
2019-08-31,521339.131720284
2019-09-30,522388.0142628425
2019-10-31,522316.4311145279
2019-11-30,524032.3392815341
2019-12-31,526595.8226152208
2020-01-31,528192.5512554321
2020-02-29,527257.9331446408
2020-03-31,524266.8869097273
2020-04-30,522275.7551342128
2020-05-31,521385.89657779766
2020-06-30,520385.4649058956
2020-07-31,516688.0603201338
2020-08-31,510385.4489103253
2020-09-30,504947.05332148896
2020-10-31,503106.5164802184
2020-11-30,503648.3718684611
2020-12-31,506264.9882824104
2021-01-31,508977.3168655836
2021-02-28,512132.7739049143
2021-03-31,514154.5606356396
2021-04-30,513545.63291377056
2021-05-31,513274.26617043576
2021-06-30,512169.7479578126
2021-07-31,513647.7356868891
2021-08-31,515205.8674603998
2021-09-30,517516.8520962607
2021-10-31,520167.88598286133
2021-11-30,521725.6100008078
2021-12-31,521886.54857564904
2022-01-31,519710.7745035128
2022-02-28,517534.2127991989
2022-03-31,516469.18011885457
2022-04-30,516859.67503416166
2022-05-31,516227.8608488524
2022-06-30,516353.1284757112
2022-07-31,516371.52890569455
2022-08-31,514825.66582363384
2022-09-30,511602.0110310379
2022-10-31,508097.23721244145
2022-11-30,506580.5043148435
2022-12-31,503289.0967577489
2023-01-31,497724.78541969135
2023-02-28,490815.43578150886
2023-03-31,484453.6346506404
2023-04-30,477787.0770890168
2023-05-31,470639.50521780265
2023-06-30,465210.9165866338
2023-07-31,463377.2570199062
2023-08-31,463371.2735794784
2023-09-30,462810.580280545
2023-10-31,460771.8955628588
2023-11-30,457397.8469297636
2023-12-31,453086.18608868605
2024-01-31,450240.714587237
2024-02-29,448627.19888044306
2024-03-31,451705.6006978245
2024-04-30,456243.07922119694
2024-05-31,460893.4623888496
2024-06-30,461600.36519755214
2024-07-31,461088.30690078455
2024-08-31,460451.7559532712
2024-09-30,461417.19406663097
2024-10-31,461167.6634256265
